Day,MSE_mu,Accuracy
Day 0,0.026540390649934863,0.7
Day 1,0.02500514604324083,0.72
Day 2,0.021121933952710552,0.78
Day 3,0.023305090136747815,0.8
Day 4,0.024032209601517876,0.68
Day 5,0.03322200443018892,0.64
Day 6,0.023723749899869372,0.84
Day 7,0.017149822331965055,0.86
Day 8,0.021977091706568398,0.86
Day 9,0.031453393491325234,0.74
Day 10,0.021971970492618318,0.74
Day 11,0.029886757725653995,0.66
Day 12,0.021759969414226917,0.74
Day 13,0.023698958716053504,0.72
Day 14,0.03290629162388611,0.74
Day 15,0.02133447310132501,0.78
Day 16,0.025745029440804885,0.74
Day 17,0.02180189532506463,0.78
Day 18,0.0255989673746054,0.76
Day 19,0.028362064369224695,0.68
