Day,MSE_mu,Accuracy
Day 0,0.01614413605433019,0.94
Day 1,0.028196069064716167,0.72
Day 2,0.028539900103393596,0.72
Day 3,0.02246725020867166,0.8
Day 4,0.025560859928273644,0.76
Day 5,0.025463943897232232,0.74
Day 6,0.03209611901750791,0.7
Day 7,0.02470210758175129,0.82
Day 8,0.024858105066541087,0.78
Day 9,0.025061685673424386,0.76
Day 10,0.02607707019404434,0.76
Day 11,0.05837981517398748,0.54
Day 12,0.025486119066970528,0.82
Day 13,0.028196174837114063,0.72
Day 14,0.03483833887719176,0.68
Day 15,0.015299340590770137,0.86
Day 16,0.022237073974662524,0.78
Day 17,0.02448141280978637,0.8
Day 18,0.018857334828862427,0.78
Day 19,0.03532721917718518,0.6
