Day,MSE_mu,Accuracy
Day 0,0.033775387596421694,0.76
Day 1,0.025789191527534595,0.74
Day 2,0.014932711279167375,0.88
Day 3,0.021350439925824458,0.8
Day 4,0.018557423274183655,0.76
Day 5,0.018312801437045768,0.8
Day 6,0.03429447971114235,0.68
Day 7,0.02703078739055206,0.8
Day 8,0.01948525586523647,0.84
Day 9,0.039306361965472755,0.76
Day 10,0.021439933898637836,0.72
Day 11,0.018675742395352423,0.84
Day 12,0.017375444088453113,0.86
Day 13,0.024277538641989758,0.8
Day 14,0.03117177625231274,0.76
Day 15,0.01444697017368213,0.84
Day 16,0.024284753250055986,0.7
Day 17,0.025154043529949835,0.76
Day 18,0.028343903485621748,0.74
Day 19,0.036198922286846284,0.66
