Day,MSE_mu,Accuracy
Day 0,0.023802817993673606,0.9
Day 1,0.02413260427353595,0.82
Day 2,0.02640202385508247,0.8
Day 3,0.017969841987807978,0.72
Day 4,0.01713271611640391,0.74
Day 5,0.028761824622268384,0.78
Day 6,0.027402682785755875,0.74
Day 7,0.023677361238103167,0.7
Day 8,0.024807188521693165,0.7
Day 9,0.0326426543343022,0.74
Day 10,0.02785704005542867,0.68
Day 11,0.014237946358602066,0.86
Day 12,0.025868940994091955,0.64
Day 13,0.032991663424943994,0.72
Day 14,0.028815373924895804,0.62
Day 15,0.020431241388683127,0.8
Day 16,0.025735426715481846,0.82
Day 17,0.03479289040131278,0.64
Day 18,0.022357239487244263,0.78
Day 19,0.016036621824144268,0.76
