Day,MSE_mu,Accuracy
Day 0,0.03339151267803859,0.66
Day 1,0.026075236898684368,0.76
Day 2,0.019954612171782234,0.74
Day 3,0.02455708712816599,0.66
Day 4,0.019573162308866538,0.72
Day 5,0.03973472217923749,0.64
Day 6,0.02856739811761083,0.7
Day 7,0.027306491488530177,0.76
Day 8,0.03184763428557284,0.7
Day 9,0.024419825120152734,0.66
Day 10,0.03387061254009605,0.62
Day 11,0.051141081706960335,0.4
Day 12,0.032872481865715876,0.62
Day 13,0.028504338817798652,0.7
Day 14,0.018967026087342027,0.84
Day 15,0.027914580148237233,0.76
Day 16,0.028688774293506584,0.6
Day 17,0.026394420739422497,0.64
Day 18,0.02442977583429003,0.78
Day 19,0.02962740549682937,0.7
