Day,MSE_mu,Accuracy
Day 0,0.020184998117886033,0.84
Day 1,0.024173036723689798,0.72
Day 2,0.03631406940312237,0.52
Day 3,0.03709637510134061,0.7
Day 4,0.020908040234319348,0.66
Day 5,0.029458439010866717,0.74
Day 6,0.02517879244946898,0.66
Day 7,0.0411596901393881,0.62
Day 8,0.023521283283498243,0.8
Day 9,0.017965405985477002,0.8
Day 10,0.029133349775365813,0.76
Day 11,0.021906054158088686,0.88
Day 12,0.02393796647643912,0.8
Day 13,0.039230182111063,0.6
Day 14,0.016685444533071782,0.9
Day 15,0.01804118393167645,0.74
Day 16,0.047709235992974726,0.6
Day 17,0.024522934106756905,0.86
Day 18,0.02650251809289729,0.72
Day 19,0.021696485825523405,0.8
