Day,MSE_mu,Accuracy
Day 0,0.037243239878374,0.66
Day 1,0.02535695861781419,0.7
Day 2,0.027310274150881702,0.74
Day 3,0.02713498367598421,0.74
Day 4,0.03855463342812454,0.54
Day 5,0.028683745480983746,0.76
Day 6,0.03264783442726976,0.68
Day 7,0.012366892277223474,0.92
Day 8,0.013935108769313427,0.92
Day 9,0.028229194205767742,0.78
Day 10,0.01782640434993358,0.8
Day 11,0.02372459477539732,0.74
Day 12,0.03210986634937974,0.7
Day 13,0.012836565635501451,0.9
Day 14,0.026907628137451643,0.68
Day 15,0.022289706145046693,0.76
Day 16,0.03371281418415022,0.62
Day 17,0.029287430955420433,0.7
Day 18,0.04356156866486247,0.6
Day 19,0.017176929809504686,0.92
