Day,MSE_mu,Accuracy
Day 0,0.024644232613142827,0.72
Day 1,0.018959286478461995,0.9
Day 2,0.031186100729536596,0.76
Day 3,0.01608855590249326,0.76
Day 4,0.01849250833970736,0.8
Day 5,0.013366498849414505,0.9
Day 6,0.02953062548149007,0.76
Day 7,0.016955262675069922,0.82
Day 8,0.043105238526326355,0.56
Day 9,0.020380350183990485,0.7
Day 10,0.02200922234388241,0.82
Day 11,0.028084116295566997,0.7
Day 12,0.03285239672067522,0.62
Day 13,0.020640924776413376,0.82
Day 14,0.029161859963979807,0.8
Day 15,0.01989997532120429,0.8
Day 16,0.023764499441944864,0.76
Day 17,0.021770054637383685,0.82
Day 18,0.02417943914482207,0.74
Day 19,0.015479801471559994,0.8
