Day,MSE_mu,Accuracy
Day 0,0.021417704517665663,0.74
Day 1,0.03665730963842651,0.64
Day 2,0.022838504921687933,0.76
Day 3,0.024370053312463606,0.7
Day 4,0.017894518864753163,0.8
Day 5,0.03260631709124422,0.62
Day 6,0.030878847554015945,0.74
Day 7,0.043436176907912454,0.58
Day 8,0.028378204143229762,0.66
Day 9,0.018015220044096263,0.82
Day 10,0.04425035678915958,0.56
Day 11,0.030267667794733864,0.76
Day 12,0.015201986743813053,0.82
Day 13,0.029291431135467075,0.62
Day 14,0.021222119379393615,0.8
Day 15,0.028093476308811184,0.72
Day 16,0.03523550961455116,0.68
Day 17,0.029534119114048685,0.72
Day 18,0.01626131367168661,0.82
Day 19,0.035893347247654396,0.64
