Day,MSE_mu,Accuracy
Day 0,0.01590950671833904,0.8
Day 1,0.03102716696456043,0.72
Day 2,0.023776775306452304,0.78
Day 3,0.02385986109828708,0.78
Day 4,0.03353458117993824,0.66
Day 5,0.023481629260475288,0.86
Day 6,0.01999425745295311,0.88
Day 7,0.01753403214959772,0.84
Day 8,0.01724666448386002,0.92
Day 9,0.029010654400285225,0.72
Day 10,0.013078389075110665,0.8
Day 11,0.025242748934285186,0.82
Day 12,0.03856550148884017,0.7
Day 13,0.02915475175351383,0.72
Day 14,0.029848595317330185,0.8
Day 15,0.019047163722756374,0.9
Day 16,0.02358473437473447,0.86
Day 17,0.034337213043194974,0.66
Day 18,0.016230268019748154,0.94
Day 19,0.024187232772343272,0.86
