Day,MSE_mu,Accuracy
Day 0,0.017141308515444802,0.84
Day 1,0.026527049546129333,0.7
Day 2,0.022828222286399736,0.84
Day 3,0.015117907818993491,0.92
Day 4,0.03117670358815248,0.76
Day 5,0.015378350554553654,0.88
Day 6,0.023347779908321206,0.82
Day 7,0.013817683782298307,0.88
Day 8,0.017095530260298093,0.86
Day 9,0.02339265131552492,0.86
Day 10,0.025025422534090794,0.86
Day 11,0.017468876777450907,0.82
Day 12,0.02316570427569225,0.68
Day 13,0.01483905020566743,0.88
Day 14,0.02658698151162476,0.8
Day 15,0.017187795590123883,0.84
Day 16,0.02931567458565867,0.76
Day 17,0.023980953201523533,0.86
Day 18,0.01892311295950888,0.8
Day 19,0.016453872038612243,0.86
