Day,MSE_mu,Accuracy
Day 0,0.016129782624266568,0.82
Day 1,0.02938633929508745,0.72
Day 2,0.03100258192500168,0.72
Day 3,0.01960222506170146,0.82
Day 4,0.03658920372777967,0.72
Day 5,0.022816426450018308,0.8
Day 6,0.025015459891822165,0.76
Day 7,0.021065632889878703,0.86
Day 8,0.034430811615764716,0.66
Day 9,0.01774001676178476,0.8
Day 10,0.02764274358806043,0.8
Day 11,0.028694214062670954,0.72
Day 12,0.014871716604030858,0.78
Day 13,0.01918459980968373,0.86
Day 14,0.04081463551620487,0.6
Day 15,0.031248857801609953,0.62
Day 16,0.015393322660162582,0.84
Day 17,0.02057410923904285,0.8
Day 18,0.027108966014639333,0.8
Day 19,0.032798155219337606,0.72
