Day,MSE_mu,Accuracy
Day 0,0.015097852277337747,0.88
Day 1,0.01777699779791556,0.84
Day 2,0.023076635262015137,0.72
Day 3,0.012869855015662198,0.88
Day 4,0.020447403945392875,0.84
Day 5,0.021762303645759207,0.82
Day 6,0.03392516356395928,0.7
Day 7,0.016854227459016533,0.76
Day 8,0.021579742172456732,0.8
Day 9,0.014905052859813807,0.82
Day 10,0.023582037733923356,0.72
Day 11,0.015795792750360655,0.8
Day 12,0.02827051042976437,0.84
Day 13,0.024854348573242632,0.7
Day 14,0.020083241126853037,0.82
Day 15,0.027515855873248115,0.68
Day 16,0.019123808715424562,0.92
Day 17,0.028711985463300706,0.72
Day 18,0.019424112658997537,0.86
Day 19,0.029314021560288697,0.78
