Day,MSE_mu,Accuracy
Day 0,0.02321329137053492,0.82
Day 1,0.021694672522953873,0.92
Day 2,0.019863627138746356,0.76
Day 3,0.02470851833590718,0.7
Day 4,0.014737483667496536,0.92
Day 5,0.028193831491469402,0.74
Day 6,0.017563231508670746,0.84
Day 7,0.02374732335789132,0.74
Day 8,0.012981482389243173,0.88
Day 9,0.013595355068123434,0.92
Day 10,0.019135925912914457,0.82
Day 11,0.026431302917606442,0.68
Day 12,0.021433981227655264,0.82
Day 13,0.040029261756026814,0.56
Day 14,0.029102878747055097,0.86
Day 15,0.017285175204317497,0.72
Day 16,0.030026937477777977,0.76
Day 17,0.029113565041228657,0.84
Day 18,0.043519369519854544,0.68
Day 19,0.010677515052675208,0.9
