Day,MSE_mu,Accuracy
Day 0,0.024199788395722236,0.74
Day 1,0.03488485032927851,0.68
Day 2,0.02972348872665848,0.68
Day 3,0.024592186797828517,0.76
Day 4,0.024605168475813694,0.84
Day 5,0.024377621151717824,0.74
Day 6,0.029571203706838745,0.68
Day 7,0.054419851897446685,0.52
Day 8,0.02822832838964135,0.7
Day 9,0.028794669499651558,0.72
Day 10,0.028540076684168345,0.82
Day 11,0.023440616988477703,0.82
Day 12,0.01936072762117565,0.78
Day 13,0.021406592815271325,0.68
Day 14,0.022695131912345227,0.74
Day 15,0.03272422009450782,0.64
Day 16,0.024261060937119126,0.7
Day 17,0.019656905845255552,0.82
Day 18,0.023747375540786587,0.76
Day 19,0.02794046077280783,0.6
