Day,MSE_mu,Accuracy
Day 0,0.01577392847061168,0.78
Day 1,0.019799995158020126,0.78
Day 2,0.014102964099136523,0.82
Day 3,0.0184823638863004,0.78
Day 4,0.020673896476437095,0.76
Day 5,0.020121929457351646,0.88
Day 6,0.031110105886716463,0.7
Day 7,0.031472628402954776,0.78
Day 8,0.016316952418201944,0.86
Day 9,0.03736363788852871,0.6
Day 10,0.019567363392272507,0.76
Day 11,0.016165616466954927,0.84
Day 12,0.026565889946472312,0.78
Day 13,0.019481756350746157,0.9
Day 14,0.03384625987685404,0.7
Day 15,0.016260378055331058,0.86
Day 16,0.019388440628689222,0.82
Day 17,0.0291071090180625,0.8
Day 18,0.012670702400860188,0.92
Day 19,0.022254629640768547,0.82
