Day,MSE_mu,Accuracy
Day 0,0.021107782722734558,0.8
Day 1,0.02066457699797499,0.82
Day 2,0.041341754055455406,0.68
Day 3,0.026094901158661477,0.78
Day 4,0.021342140209165642,0.82
Day 5,0.012032497037439426,0.88
Day 6,0.02992020130738906,0.64
Day 7,0.023004459850572284,0.84
Day 8,0.026079774618526723,0.76
Day 9,0.015487286915685456,0.9
Day 10,0.02363806881780812,0.8
Day 11,0.0285817499188571,0.76
Day 12,0.018890379605277636,0.72
Day 13,0.023532696856426255,0.74
Day 14,0.016016261220464116,0.88
Day 15,0.022746445977304106,0.78
Day 16,0.023942294277240855,0.7
Day 17,0.031823109490075434,0.68
Day 18,0.023360178403992432,0.84
Day 19,0.013928013882309246,0.9
