Day,MSE_mu,Accuracy
Day 0,0.01928934944238888,0.88
Day 1,0.01757176965529511,0.86
Day 2,0.01858345348700261,0.84
Day 3,0.024760513965914856,0.72
Day 4,0.014529222957012845,0.92
Day 5,0.01578622262083925,0.76
Day 6,0.021936768444144616,0.84
Day 7,0.025639951926794323,0.82
Day 8,0.024751248171038864,0.82
Day 9,0.03249106387009851,0.58
Day 10,0.02469802885965415,0.72
Day 11,0.015111172725880176,0.86
Day 12,0.026599819438518833,0.82
Day 13,0.013625909886597832,0.84
Day 14,0.03272584277941126,0.62
Day 15,0.011989950067355981,0.94
Day 16,0.02747841369218399,0.74
Day 17,0.03044530015295393,0.76
Day 18,0.030168402940808425,0.72
Day 19,0.03087443541159938,0.64
