Day,MSE_mu,Accuracy
Day 0,0.030305768537254866,0.68
Day 1,0.01888250235725431,0.78
Day 2,0.01663165438002498,0.84
Day 3,0.016394215618046513,0.9
Day 4,0.02485571089616518,0.82
Day 5,0.022845765484319065,0.76
Day 6,0.024945221265110198,0.82
Day 7,0.02249267305447532,0.84
Day 8,0.021176405664790152,0.86
Day 9,0.01846958408079925,0.92
Day 10,0.034065373667439114,0.68
Day 11,0.021643353160222718,0.8
Day 12,0.02319352952429387,0.76
Day 13,0.028128092986696232,0.74
Day 14,0.022236124915773942,0.86
Day 15,0.029601375356663327,0.74
Day 16,0.024979712762704692,0.76
Day 17,0.01740000569939475,0.86
Day 18,0.02090931606021812,0.82
Day 19,0.02066987928095265,0.82
