Day,MSE_mu,Accuracy
Day 0,0.01800383281152505,0.82
Day 1,0.03860533798324946,0.7
Day 2,0.018957927961018247,0.78
Day 3,0.014807718144394463,0.86
Day 4,0.027864860390951283,0.76
Day 5,0.023722658157948207,0.74
Day 6,0.012596762902801874,0.94
Day 7,0.021774847068538782,0.84
Day 8,0.02338395163476693,0.82
Day 9,0.023024465105540917,0.76
Day 10,0.02372545658381734,0.82
Day 11,0.02920972250488401,0.74
Day 12,0.023743180989702475,0.76
Day 13,0.01979445673223295,0.84
Day 14,0.027039673508544037,0.82
Day 15,0.026881524879633474,0.74
Day 16,0.03714547809680351,0.68
Day 17,0.017603736883635143,0.78
Day 18,0.019718600627882422,0.8
Day 19,0.020098598931620047,0.78
