Day,MSE_mu,Accuracy
Day 0,0.018760589644452888,0.74
Day 1,0.016854630459480848,0.8
Day 2,0.03404365414501687,0.68
Day 3,0.030647036438264202,0.66
Day 4,0.019882987449149715,0.86
Day 5,0.04054306423334524,0.58
Day 6,0.02066407818254356,0.84
Day 7,0.0189670696454236,0.78
Day 8,0.023099043537283225,0.78
Day 9,0.021017782405344132,0.8
Day 10,0.02363103856116947,0.76
Day 11,0.028138799243754335,0.68
Day 12,0.012023776731242003,0.88
Day 13,0.013100018858946022,0.84
Day 14,0.027441160077144946,0.78
Day 15,0.04671218385726741,0.56
Day 16,0.02321478829754184,0.78
Day 17,0.01791071700344193,0.82
Day 18,0.017110681254564754,0.9
Day 19,0.022459148583613447,0.76
