Day,MSE_mu,Accuracy
Day 0,0.020968304821648107,0.94
Day 1,0.02673283006440896,0.74
Day 2,0.02610800168664431,0.78
Day 3,0.02860061265476338,0.72
Day 4,0.02346822432038282,0.78
Day 5,0.02677234837124474,0.74
Day 6,0.018670409276313957,0.82
Day 7,0.0237791808244943,0.78
Day 8,0.024675281409313608,0.76
Day 9,0.024495677847248615,0.76
Day 10,0.026292066739146965,0.76
Day 11,0.03577822138342335,0.72
Day 12,0.022328866010263196,0.7
Day 13,0.021611169496893325,0.86
Day 14,0.03478248322085503,0.68
Day 15,0.02772259666181456,0.68
Day 16,0.024864282770026114,0.8
Day 17,0.030314113891055584,0.82
Day 18,0.034675689799232245,0.54
Day 19,0.027084014730393284,0.78
