Day,MSE_mu,Accuracy
Day 0,0.01874268007254325,0.84
Day 1,0.015572628066044416,0.76
Day 2,0.041087456781324416,0.68
Day 3,0.022460721360462066,0.66
Day 4,0.040792761557451145,0.64
Day 5,0.03631713266060478,0.64
Day 6,0.022659150711382907,0.8
Day 7,0.02749157544878311,0.78
Day 8,0.021305533692289283,0.84
Day 9,0.042855585480450244,0.54
Day 10,0.03778434837507372,0.72
Day 11,0.01749738838164619,0.84
Day 12,0.02276650125916366,0.8
Day 13,0.02181099520615274,0.76
Day 14,0.025957115412241164,0.74
Day 15,0.03860079579744556,0.58
Day 16,0.016007027998772537,0.84
Day 17,0.02048441244882697,0.7
Day 18,0.019794536972951013,0.78
Day 19,0.0333820238711834,0.7
