Day,MSE_mu,Accuracy
Day 0,0.036354517828438904,0.62
Day 1,0.022593642461431262,0.78
Day 2,0.02613903820996954,0.82
Day 3,0.03416236287679914,0.76
Day 4,0.019579860844385504,0.84
Day 5,0.021892522347136196,0.76
Day 6,0.03192530327882219,0.68
Day 7,0.013162709504336335,0.96
Day 8,0.019534475033205302,0.8
Day 9,0.01697971666739415,0.8
Day 10,0.021937541149428745,0.88
Day 11,0.017926539089189817,0.76
Day 12,0.02411427912757627,0.82
Day 13,0.012661029657638986,0.88
Day 14,0.021550078808444176,0.76
Day 15,0.01552476209324037,0.9
Day 16,0.03593130236223939,0.62
Day 17,0.026494038644523855,0.8
Day 18,0.01885173345794745,0.84
Day 19,0.030124362053258604,0.72
