Day,MSE_mu,Accuracy
Day 0,0.03251619192369436,0.64
Day 1,0.03762857390165672,0.72
Day 2,0.029157275335873697,0.76
Day 3,0.019333591930128506,0.82
Day 4,0.0510388764282039,0.56
Day 5,0.027234782823565316,0.78
Day 6,0.01368888407395593,0.8
Day 7,0.030120271270318865,0.72
Day 8,0.03838265396967259,0.54
Day 9,0.021706329976682887,0.7
Day 10,0.027369687333710188,0.62
Day 11,0.026459589249648263,0.68
Day 12,0.03131088054020299,0.7
Day 13,0.016598407541426812,0.86
Day 14,0.016195092265063927,0.68
Day 15,0.022344102209919715,0.76
Day 16,0.030067722168458846,0.74
Day 17,0.024275693331549397,0.76
Day 18,0.02146183549920228,0.8
Day 19,0.0420764459949949,0.64
