Day,MSE_mu,Accuracy
Day 0,0.020498510815336334,0.84
Day 1,0.022882997320811425,0.74
Day 2,0.0262518151618719,0.72
Day 3,0.01721116366374816,0.84
Day 4,0.03072017970883159,0.66
Day 5,0.02813568019847789,0.78
Day 6,0.024582419453130434,0.82
Day 7,0.021648818332851538,0.8
Day 8,0.020704928850292445,0.86
Day 9,0.02053049945865388,0.88
Day 10,0.016393179247660684,0.86
Day 11,0.011763668023753034,0.98
Day 12,0.019169032334863893,0.74
Day 13,0.04435927099588281,0.56
Day 14,0.02737585881125926,0.66
Day 15,0.020363005211635244,0.84
Day 16,0.04438593510603817,0.56
Day 17,0.028172595243932952,0.84
Day 18,0.03594260371659562,0.62
Day 19,0.014852538391764817,0.88
