Day,MSE_mu,Accuracy
Day 0,0.016320580298137,0.84
Day 1,0.0262839044827056,0.82
Day 2,0.018743401717355484,0.82
Day 3,0.024494218975786537,0.72
Day 4,0.02829284447016171,0.82
Day 5,0.02890477021733018,0.74
Day 6,0.014942500362210315,0.9
Day 7,0.014919221118742183,0.86
Day 8,0.018552432453628732,0.9
Day 9,0.014084543287069737,0.92
Day 10,0.030697334903610683,0.82
Day 11,0.02270862370650704,0.74
Day 12,0.02400316130575988,0.8
Day 13,0.020913459496060553,0.78
Day 14,0.04390417558378313,0.64
Day 15,0.02004170035747127,0.92
Day 16,0.038238789703338966,0.7
Day 17,0.022116250916338624,0.82
Day 18,0.026272893286471654,0.78
Day 19,0.010820229129272853,0.9
