Day,MSE_mu,Accuracy
Day 0,0.02441347890806568,0.78
Day 1,0.030691961065478987,0.58
Day 2,0.02165689578061169,0.78
Day 3,0.028062718986045104,0.64
Day 4,0.021405127697490527,0.8
Day 5,0.04409180411375726,0.62
Day 6,0.03255131464280433,0.7
Day 7,0.022423330598923295,0.8
Day 8,0.017974488014234725,0.82
Day 9,0.028255796652011264,0.72
Day 10,0.025699855359904007,0.82
Day 11,0.02928033051982589,0.54
Day 12,0.025092067590053075,0.72
Day 13,0.015054042323906525,0.96
Day 14,0.029019940329992715,0.76
Day 15,0.038670546765321556,0.44
Day 16,0.03662476385060284,0.68
Day 17,0.01987652560777482,0.76
Day 18,0.022728078982133557,0.84
Day 19,0.030249048214485208,0.66
