Day,MSE_mu,Accuracy
Day 0,0.028931591491709308,0.78
Day 1,0.017071945253391452,0.88
Day 2,0.016790281221995735,0.84
Day 3,0.022358309322983185,0.78
Day 4,0.035045968638504295,0.64
Day 5,0.03427914244887871,0.66
Day 6,0.0212042256015618,0.92
Day 7,0.015303438295166758,0.9
Day 8,0.022019856395108114,0.84
Day 9,0.027957616685244525,0.8
Day 10,0.027161152801094445,0.7
Day 11,0.02332701482556267,0.74
Day 12,0.018198154892933083,0.88
Day 13,0.01230316687756644,0.92
Day 14,0.020969335722680275,0.84
Day 15,0.019359863531112107,0.78
Day 16,0.013499190179326381,0.86
Day 17,0.017399561387713824,0.92
Day 18,0.023143159040006064,0.84
Day 19,0.023226047092589894,0.84
