Day,MSE_mu,Accuracy
Day 0,0.029918150222442416,0.88
Day 1,0.02889754407598224,0.78
Day 2,0.019692127529220192,0.84
Day 3,0.03359278883289032,0.72
Day 4,0.030478623112364604,0.74
Day 5,0.05526264520276998,0.48
Day 6,0.038938906218528926,0.58
Day 7,0.019471521975717897,0.86
Day 8,0.034695914456159986,0.74
Day 9,0.018212827979113347,0.9
Day 10,0.019478054793526673,0.82
Day 11,0.03116092107676852,0.7
Day 12,0.039330041281690306,0.6
Day 13,0.03627584271438202,0.7
Day 14,0.02327928741141598,0.78
Day 15,0.023374300764266727,0.78
Day 16,0.028121689885391796,0.74
Day 17,0.04894160105902527,0.52
Day 18,0.023617144291277967,0.78
Day 19,0.023815170909828935,0.58
