Day,MSE_mu,Accuracy
Day 0,0.023450435203161542,0.84
Day 1,0.0176387343734147,0.84
Day 2,0.022338031205806772,0.86
Day 3,0.022830540606157666,0.72
Day 4,0.02497932325645089,0.76
Day 5,0.0234429176421701,0.82
Day 6,0.027481704039843638,0.76
Day 7,0.023422309909003135,0.8
Day 8,0.03422748328127376,0.64
Day 9,0.023023004570222834,0.68
Day 10,0.027784850927974874,0.84
Day 11,0.013968588699122679,0.88
Day 12,0.024841199685489417,0.8
Day 13,0.02191668094403811,0.78
Day 14,0.0183849461403266,0.84
Day 15,0.03287397519366241,0.74
Day 16,0.02759579517365217,0.72
Day 17,0.025102077589220378,0.7
Day 18,0.030431460253740755,0.8
Day 19,0.023161418677729834,0.72
