Day,MSE_mu,Accuracy
Day 0,0.05227509296375597,0.46
Day 1,0.018349708396872846,0.82
Day 2,0.021281480346709406,0.86
Day 3,0.02345842017377445,0.78
Day 4,0.02457267480053216,0.8
Day 5,0.02309127783783929,0.82
Day 6,0.0400092977430223,0.66
Day 7,0.022018735530022777,0.86
Day 8,0.020997584294330573,0.76
Day 9,0.01837406959498548,0.9
Day 10,0.016439818890157727,0.88
Day 11,0.016246292659518696,0.92
Day 12,0.020787202894515903,0.8
Day 13,0.0238232976072425,0.74
Day 14,0.024654890567912518,0.68
Day 15,0.013426621807047902,0.88
Day 16,0.01418390450280701,0.84
Day 17,0.028463891139120324,0.78
Day 18,0.02614377048521651,0.82
Day 19,0.014931935330319565,0.92
