Day,MSE_mu,Accuracy
Day 0,0.021212195762477685,0.78
Day 1,0.02074556160404108,0.84
Day 2,0.0218078136472374,0.8
Day 3,0.0268941214810979,0.76
Day 4,0.022071110106668113,0.7
Day 5,0.03202111560574501,0.6
Day 6,0.02488088452719164,0.66
Day 7,0.03966660752388221,0.48
Day 8,0.027209217576439296,0.84
Day 9,0.030269430666196556,0.78
Day 10,0.01883750835933162,0.7
Day 11,0.023442959273092426,0.72
Day 12,0.04019966691153272,0.72
Day 13,0.019495122735379834,0.8
Day 14,0.020431775451539475,0.82
Day 15,0.02070690310319609,0.76
Day 16,0.029793741307280668,0.64
Day 17,0.015091791529579419,0.78
Day 18,0.022938668233356094,0.72
Day 19,0.030078949641041543,0.72
