Day,MSE_mu,Accuracy
Day 0,0.038517316407432584,0.62
Day 1,0.020081631376273865,0.8
Day 2,0.01770570503919985,0.82
Day 3,0.0309364689978196,0.68
Day 4,0.013867852653968475,0.86
Day 5,0.021835057449299766,0.86
Day 6,0.021811896058162163,0.78
Day 7,0.028019937429129633,0.7
Day 8,0.029696772111483086,0.7
Day 9,0.015986715932736907,0.94
Day 10,0.02489629513449281,0.76
Day 11,0.01516384595920561,0.88
Day 12,0.016146743102918706,0.82
Day 13,0.01785689690105855,0.82
Day 14,0.017767309223179893,0.86
Day 15,0.026517501219156966,0.68
Day 16,0.030657312213224444,0.66
Day 17,0.01670101284563685,0.84
Day 18,0.02495205287845168,0.82
Day 19,0.02071246714687299,0.76
