Day,MSE_mu,Accuracy
Day 0,0.018971760755325508,0.8
Day 1,0.020774999902414347,0.84
Day 2,0.029684906175771505,0.72
Day 3,0.02964050888719092,0.7
Day 4,0.013908939207062598,0.84
Day 5,0.023648775269182156,0.84
Day 6,0.01161417419692687,0.84
Day 7,0.02068771207426169,0.78
Day 8,0.035382116165086026,0.6
Day 9,0.03254317590460928,0.76
Day 10,0.029539030138621566,0.62
Day 11,0.029055932068620616,0.76
Day 12,0.01921794732432331,0.84
Day 13,0.02990878840794882,0.7
Day 14,0.018287616636674515,0.88
Day 15,0.022072858321205247,0.82
Day 16,0.020747047749064718,0.78
Day 17,0.015454471297454215,0.88
Day 18,0.019182878930073893,0.76
Day 19,0.024513025686181824,0.78
