Day,MSE_mu,Accuracy
Day 0,0.021989042791319774,0.82
Day 1,0.024526835322497168,0.78
Day 2,0.026518019454891528,0.7
Day 3,0.018985698194005897,0.84
Day 4,0.019644199930324877,0.72
Day 5,0.03203803134723447,0.74
Day 6,0.024708980864756903,0.76
Day 7,0.017322734054526143,0.88
Day 8,0.0297550108467763,0.78
Day 9,0.031290214039909975,0.64
Day 10,0.033891196785882066,0.62
Day 11,0.030285653685944148,0.76
Day 12,0.025716669449828554,0.76
Day 13,0.02224398592478942,0.76
Day 14,0.06263668250933334,0.52
Day 15,0.018702411153613013,0.82
Day 16,0.031683458381104444,0.66
Day 17,0.037332569778875994,0.68
Day 18,0.022046273397581813,0.88
Day 19,0.015000314125716455,0.92
