Day,RMSTE,RMSRE,Accuracy
Day 0,0.0753999510966648,0.09165362368169683,0.82
Day 1,0.08893333307356456,0.10054441603450977,0.78
Day 2,0.10564469323380667,0.1265994289013996,0.86
Day 3,0.07977580957638312,0.09823923779316382,0.92
Day 4,0.08887330468185455,0.10634670609041158,0.76
Day 5,0.08562689227548076,0.10514612071172963,0.8
Day 6,0.08214246300768784,0.09903403600360572,0.82
Day 7,0.08510410785310382,0.10306497593871944,0.92
Day 8,0.0967019671731495,0.11386464100146973,0.76
Day 9,0.08638136137216025,0.10504782500478675,0.82
Day 10,0.09957820138880577,0.11182777152696392,0.9
Day 11,0.07580089540575383,0.09600354917679671,0.76
Day 12,0.08932990010522074,0.10771996111819981,0.84
Day 13,0.08567086705642543,0.10053602993937019,0.76
Day 14,0.08350639535743032,0.10329185309144492,0.74
Day 15,0.09084699149779421,0.10503629244779436,0.84
Day 16,0.08015360802925907,0.09240273692466294,0.74
Day 17,0.09369172731754047,0.10889147608596102,0.88
Day 18,0.0875106925442562,0.10537743495873443,0.78
Day 19,0.07596613944187978,0.09463915909417624,0.72
