Day,RMSTE,RMSRE,Accuracy
Day 0,0.09783168070798316,0.12306793528874661,0.88
Day 1,0.08387180767736492,0.10806473363961643,0.86
Day 2,0.07124901861163002,0.09137384813940169,0.7
Day 3,0.06054628224993801,0.07855058742865789,0.78
Day 4,0.06091622249050567,0.08086034446823888,0.82
Day 5,0.0650695196780751,0.07890576571348461,0.76
Day 6,0.06264206572986061,0.08041449111821676,0.78
Day 7,0.057654478858072004,0.06744509189777892,0.8
Day 8,0.06087144855222538,0.07139278582837959,0.7
Day 9,0.07441496558976358,0.0888985379081128,0.68
Day 10,0.07315084520662489,0.08976108370279398,0.86
Day 11,0.05014936488821574,0.06428066828145164,0.88
Day 12,0.07087694849133204,0.08606671984290679,0.9
Day 13,0.053309649325920375,0.06310710989917412,0.82
Day 14,0.05923834493582661,0.07644352042120853,0.8
Day 15,0.061400636465724884,0.07650980640503284,0.86
Day 16,0.06710332643078736,0.07911894641918495,0.82
Day 17,0.058915888001369855,0.06831867809886766,0.82
Day 18,0.04604281424141621,0.05765539485450452,0.84
Day 19,0.061028110005901796,0.0762303762846633,0.82
