Day,RMSTE,RMSRE,Accuracy
Day 0,0.10884935555120112,0.14861978417193267,0.76
Day 1,0.09726072938130671,0.12296263383251507,0.84
Day 2,0.08053778027848667,0.09775614455699623,0.84
Day 3,0.0893836073813678,0.10824123566725093,0.78
Day 4,0.07364911197333845,0.0921144451998759,0.84
Day 5,0.07679369753312243,0.09213247952929901,0.94
Day 6,0.07497466061912209,0.09325831775990105,0.86
Day 7,0.07163403857024749,0.08458566906871648,0.82
Day 8,0.0713023256031641,0.0888549790572168,0.8
Day 9,0.07671425148383655,0.09582688213340296,0.84
Day 10,0.05912708782176804,0.07518757104782672,0.98
Day 11,0.058873982167149404,0.07336969695334264,0.84
Day 12,0.062544594611455,0.07601747222647588,0.9
Day 13,0.06857356824631868,0.08452544307257728,0.84
Day 14,0.06328735140509838,0.07853347055537732,0.8
Day 15,0.051668008326515275,0.06451245178814599,0.78
Day 16,0.056103364726798,0.07084266239518056,0.88
Day 17,0.059872110529706764,0.07526845830711267,0.88
Day 18,0.050800629008753415,0.06337549561056766,0.88
Day 19,0.055661379089181104,0.07112069799052759,0.86
