Day,RMSTE,RMSRE,Accuracy
Day 0,0.1181907270487194,0.16395127170516904,0.74
Day 1,0.14137807720161946,0.17822103088163063,0.8
Day 2,0.1385740060143995,0.18162614543753994,0.72
Day 3,0.20108374026914352,0.23860886397758824,0.52
Day 4,0.15018844320880215,0.19169504115832567,0.78
Day 5,0.13117834490312327,0.15621361750818696,0.86
Day 6,0.15493570632448184,0.1982105557402308,0.78
Day 7,0.16423670007697627,0.19599595298446648,0.72
Day 8,0.1672709254394021,0.21532979084400597,0.52
Day 9,0.1432734238354058,0.17966873005031267,0.84
Day 10,0.12869313681914704,0.17353545453007502,0.76
Day 11,0.1550082028712676,0.18076728206290868,0.64
Day 12,0.14797352814599393,0.18750780611287635,0.62
Day 13,0.16143608513110794,0.21045191024342755,0.54
Day 14,0.1331721708746403,0.17114857952333587,0.78
Day 15,0.15535669000135294,0.19412145864234903,0.58
Day 16,0.12817589945941196,0.17116930631479219,0.7
Day 17,0.13095387412613263,0.16688811986585947,0.78
Day 18,0.18621176246290733,0.22971378259090622,0.5
Day 19,0.16141679003364726,0.2140523085814414,0.74
