Day,RMSTE,RMSRE,Accuracy
Day 0,0.14515746560347928,0.17887583049579303,0.74
Day 1,0.15195029306548438,0.18176910781316705,0.76
Day 2,0.15817270891555144,0.1960673261968848,0.8
Day 3,0.14150933025408333,0.16909360431210768,0.76
Day 4,0.15329924064996034,0.20357478061232742,0.6
Day 5,0.15465111403224205,0.1940960298636401,0.78
Day 6,0.14412862425050843,0.19814958433150187,0.64
Day 7,0.19276783416636592,0.24331262239893772,0.58
Day 8,0.10588179584444189,0.13421254100308536,0.8
Day 9,0.12122854860341786,0.14890577249043024,0.8
Day 10,0.1479342676940527,0.1886173863768199,0.74
Day 11,0.1291063131299606,0.16208572705417668,0.62
Day 12,0.13062663517663198,0.16270447994374151,0.86
Day 13,0.15825821933175482,0.1945244638770294,0.76
Day 14,0.19275349428309296,0.22818117237747773,0.58
Day 15,0.18309153011432758,0.22243730792289065,0.64
Day 16,0.18572104314841284,0.21369777356922243,0.62
Day 17,0.13109682690138344,0.16833662981553665,0.78
Day 18,0.13531654179933947,0.15875629003535452,0.78
Day 19,0.15000097247733193,0.20271123147845427,0.7
