Day,RMSTE,RMSRE,Accuracy
Day 0,0.12866993327615295,0.15474552494718813,0.8
Day 1,0.15970833058658682,0.2066241283715217,0.56
Day 2,0.1502090875953098,0.20606206202762367,0.76
Day 3,0.13060088024388636,0.16587203628448238,0.82
Day 4,0.13431615271802969,0.16722038640815376,0.76
Day 5,0.19579580411346909,0.23041129914432756,0.52
Day 6,0.13107568513966525,0.16144677452497327,0.8
Day 7,0.12074014188248317,0.1492852253490526,0.9
Day 8,0.19265066795052274,0.23051271545168356,0.62
Day 9,0.1319061000008764,0.16273262638934932,0.76
Day 10,0.2068738473038439,0.2552811872406499,0.6
Day 11,0.13885731674892926,0.18094093484288057,0.74
Day 12,0.19027544283819325,0.24008098241934386,0.54
Day 13,0.1321969350561382,0.18344630450684535,0.74
Day 14,0.1443130911819949,0.18420559298519004,0.64
Day 15,0.13203601083224775,0.1721178630875846,0.82
Day 16,0.12094952399271443,0.1544951637170758,0.72
Day 17,0.13181868842881445,0.1676610018127477,0.78
Day 18,0.12353832456627968,0.1516383666916618,0.76
Day 19,0.12891724749566025,0.15712803027537872,0.72
