Day,RMSTE,RMSRE,Accuracy
Day 0,0.14066159322708027,0.16891429560657648,0.66
Day 1,0.1181777111849894,0.1515118831214867,0.74
Day 2,0.1639338987622342,0.1945475547566146,0.64
Day 3,0.11163430709651966,0.1401767934183159,0.8
Day 4,0.12895887694884353,0.16502935664446514,0.82
Day 5,0.1433142799241753,0.17763276092428024,0.72
Day 6,0.1264910290260298,0.16359103815214268,0.8
Day 7,0.14073569760501042,0.1637883573588167,0.82
Day 8,0.13336677210519007,0.16794162393639497,0.68
Day 9,0.15103328629885154,0.18969688666443538,0.58
Day 10,0.1546319011219857,0.1870858138553161,0.72
Day 11,0.13902362327145054,0.1642859281757733,0.72
Day 12,0.17667453290534985,0.20733935042215043,0.62
Day 13,0.15442018426660511,0.18646150028209213,0.58
Day 14,0.12418929425605084,0.16187742821215745,0.68
Day 15,0.15443412902492673,0.17769624999552436,0.64
Day 16,0.13198712110736616,0.16224088412194523,0.68
Day 17,0.12067350989091519,0.14824342833247545,0.84
Day 18,0.12083806282621262,0.16269331698012748,0.74
Day 19,0.12571472566714836,0.1569237499843076,0.76
