Day,RMSTE,RMSRE,Accuracy
Day 0,0.10393145392149196,0.12705957679108723,0.94
Day 1,0.1309647976813966,0.1679168516400786,0.72
Day 2,0.1386322349094674,0.16893756273663235,0.72
Day 3,0.11804131893518321,0.14989079427593832,0.8
Day 4,0.12547684203475484,0.15987764048882397,0.76
Day 5,0.13771321523469204,0.15957425825374288,0.74
Day 6,0.14855061318773097,0.17915389757833322,0.7
Day 7,0.12612868023356297,0.1571690414227665,0.82
Day 8,0.12993696076407146,0.1576645333185022,0.78
Day 9,0.1262677689734308,0.1583088300551311,0.76
Day 10,0.12813103163070275,0.16148396265277967,0.76
Day 11,0.18895800662204382,0.24161915316047997,0.54
Day 12,0.12945529355918522,0.15964372542311372,0.82
Day 13,0.1328623327692774,0.16791716659446723,0.72
Day 14,0.15108321598189062,0.18665031175219549,0.68
Day 15,0.09935174672551271,0.12369050323598065,0.86
Day 16,0.1160938445480354,0.14912100447174612,0.78
Day 17,0.12546580287240205,0.1564653725582321,0.8
Day 18,0.11411104628603613,0.13732201145068632,0.78
Day 19,0.15789397627463103,0.18795536485342784,0.6
