Day,RMSTE,RMSRE,Accuracy
Day 0,0.10446805258734514,0.12472754873342114,0.9
Day 1,0.10522729392890302,0.13753012263706346,0.94
Day 2,0.1153120887902426,0.14917084782309895,0.84
Day 3,0.15677493692982947,0.198670711057886,0.72
Day 4,0.1539012816522933,0.19126036695422569,0.78
Day 5,0.11805751153045474,0.14691712824989647,0.78
Day 6,0.12315907057788189,0.1628048310487838,0.8
Day 7,0.11728344941830687,0.14352527495774428,0.82
Day 8,0.1007411498710834,0.13267618613233742,0.82
Day 9,0.11525494547530961,0.1385625549377165,0.82
Day 10,0.11358023658733937,0.1401299281664004,0.8
Day 11,0.10143589915796125,0.1350107318950202,0.96
Day 12,0.10406606914426693,0.13044399015917998,0.88
Day 13,0.112256292272192,0.13743415710710286,0.92
Day 14,0.15209185987901475,0.19616614352555847,0.64
Day 15,0.11086798302772814,0.14294451259013757,0.96
Day 16,0.1510330663909711,0.18521000704085977,0.62
Day 17,0.1422891431449274,0.18354287090556345,0.64
Day 18,0.09729630678631082,0.12737982616341673,0.9
Day 19,0.14188029264877267,0.17351775867085528,0.8
