Day,RMSTE,RMSRE,Accuracy
Day 0,0.07498726444438109,0.09454013516104323,0.88
Day 1,0.07035228985906837,0.0908648776561145,0.74
Day 2,0.06406114590214547,0.07899775594186438,0.9
Day 3,0.060504714736502666,0.07834880273769218,0.86
Day 4,0.064336011673921,0.08711391897177719,0.94
Day 5,0.05771392149466078,0.07253359021266113,0.82
Day 6,0.06369719768612733,0.08125039323113335,0.82
Day 7,0.052356885816816356,0.0717034279967681,0.94
Day 8,0.05218208610751863,0.06817385144012898,0.94
Day 9,0.05350079497860936,0.06883343503026197,0.74
Day 10,0.05711391326688966,0.08027230599685399,0.88
Day 11,0.04515379832672626,0.061103183120446034,0.76
Day 12,0.05174789427262486,0.07055472297324104,0.82
Day 13,0.05130525326259099,0.06591250756023478,0.82
Day 14,0.04952030705655897,0.06329046111118534,0.94
Day 15,0.05302605119989113,0.066611631753842,0.88
Day 16,0.04535098790312396,0.06391529879422087,0.72
Day 17,0.04643687725402218,0.0634745196063346,0.92
Day 18,0.0390602553326298,0.05570344550152734,0.9
Day 19,0.03710367756400422,0.04916270065508506,0.78
