Day,MSE_mu,Accuracy
Day 0,0.014426479024449974,0.84
Day 1,0.006643909717561779,0.92
Day 2,0.004420250581372957,0.9
Day 3,0.003799263874887247,0.92
Day 4,0.003142124084152238,0.96
Day 5,0.0029498348172431843,0.98
Day 6,0.0025966792157158126,0.94
Day 7,0.002141924589345627,0.9
Day 8,0.0019159937662568507,0.96
Day 9,0.0017142786876818766,0.94
Day 10,0.0018290842020372644,0.96
Day 11,0.001824379129856179,0.88
Day 12,0.0017602200479145483,0.92
Day 13,0.0017315549857691997,0.88
Day 14,0.001682808842045338,0.94
Day 15,0.0015803590641842958,0.94
Day 16,0.0014661766082279559,0.92
Day 17,0.0013243184251774804,0.88
Day 18,0.0012875249667016924,0.92
Day 19,0.0011154819768625672,0.96
