Day,RMSTE,RMSRE,Accuracy
Day 0,0.09598939626902696,0.12188047319063286,0.84
Day 1,0.09766167225240606,0.11713795113123451,0.92
Day 2,0.09639104524638296,0.11911365384269701,0.88
Day 3,0.11050290246408373,0.1325612653771634,0.78
Day 4,0.08144829532947581,0.10297398523964787,0.74
Day 5,0.07668462166824391,0.09818760045759145,0.74
Day 6,0.09954431624441062,0.12274903887033337,0.86
Day 7,0.09908419396362549,0.12957909627333888,0.82
Day 8,0.09989366752543953,0.1268926301413783,0.82
Day 9,0.08551101873504331,0.10747428831912473,0.76
Day 10,0.1049185525620135,0.13436626653836775,0.84
Day 11,0.10140427217194826,0.1289271482305,0.84
Day 12,0.09783271010495213,0.1170288159593985,0.68
Day 13,0.08192428161763515,0.09903979024850385,0.78
Day 14,0.08982072788213454,0.11378884930771557,0.78
Day 15,0.08196426275881526,0.10192907205956395,0.76
Day 16,0.09108030031716462,0.12083936925997538,0.72
Day 17,0.07904122647177236,0.09725729246090252,0.86
Day 18,0.10017147585325163,0.12446370665148619,0.68
Day 19,0.08274833077537455,0.10492777861052173,0.82
