Day,RMSTE,RMSRE,Accuracy
Day 0,0.09057325433777354,0.11375646246985903,0.56
Day 1,0.08664365605931337,0.10389353243018543,0.78
Day 2,0.09644431608998819,0.1205990392722849,0.74
Day 3,0.08682155529099891,0.1050877405182032,0.82
Day 4,0.09719715288612864,0.11747480723036034,0.84
Day 5,0.09013570976421638,0.10943834318819935,0.88
Day 6,0.08284494726021278,0.09825180181557389,0.82
Day 7,0.07811129502326132,0.1001149257402496,0.78
Day 8,0.0877294219917279,0.11080564019853305,0.74
Day 9,0.09002214002834456,0.1082783876548901,0.82
Day 10,0.09022416845455004,0.10860733413241633,0.66
Day 11,0.08778211609290706,0.10929829488921984,0.66
Day 12,0.07841638492760926,0.09696947321114359,0.72
Day 13,0.08724981473868,0.1076984552395818,0.84
Day 14,0.08628239587564407,0.10804129314689578,0.78
Day 15,0.09376367043671323,0.11383659726197944,0.86
Day 16,0.08697137793701312,0.10947886825594896,0.68
Day 17,0.09502321801780914,0.11661304784653294,0.84
Day 18,0.08218213478967774,0.10600728636709297,0.78
Day 19,0.08257460336623904,0.10196879265607077,0.72
