worker,value
0,0.5836340345515564
1,0.6058845651624
2,0.6069721015649823
3,0.5728637612544405
4,0.602418645183
5,0.5882368291678972
6,0.5783136009776354
7,0.5658560554362276
8,0.5516596680192856
9,0.6071698859506666
10,0.5876510455280028
11,0.5709665127002619
12,0.6011432028758332
13,0.5715045239134031
14,0.5770974558149825
15,0.6345479862518685
16,0.618672433675417
17,0.614267871472144
18,0.5952489572220645
19,0.6082684690909844
20,0.5736252378293308
21,0.5795466045365169
22,0.556619986639189
23,0.6100704112269925
24,0.6163297521490367
25,0.5682423595443069
26,0.5592079093288848
27,0.5978897411699009
28,0.6272472320997385
29,0.6199378429245942
30,0.6202726480617241
31,0.6001484600495756
32,0.5592727805462303
33,0.5920471553312289
34,0.5635525965981445
35,0.6165377405073205
36,0.6217754279769512
37,0.5614688128791165
38,0.6274248626056234
39,0.5796406509737724
40,0.6095216550356378
41,0.6917435378992439
42,0.6286040334726349
43,0.5817578338895761
44,0.6280662304319361
45,0.5954484048363954
46,0.6262941744781458
47,0.6132089671751714
48,0.5834552765164099
49,0.6202423362742655
50,0.5952599210762046
51,0.655455828557947
52,0.5988549827450784
53,0.5486982796353318
54,0.5862991628164764
55,0.5818504376504702
56,0.5838656698454934
57,0.5598732876958975
58,0.6014799021789836
59,0.5828576375152037
60,0.5862927040729262
61,0.5190198687573854
62,0.6513190204959156
63,0.5110755690507431
64,0.619622374481448
65,0.5878682443851064
66,0.6505971650315595
67,0.6134890046951278
68,0.6093210860620001
69,0.5625118090387674
70,0.559903343762279
71,0.6087567502722225
72,0.6166127634889224
73,0.5866023577939385
74,0.624304158836939
75,0.5683347639413532
76,0.6209053940856188
77,0.5904688667936966
78,0.5523832877279433
79,0.6406705531830574
80,0.5850697531637427
81,0.6178204600439463
82,0.6035352986047974
83,0.5922996869706234
84,0.577545962386828
85,0.5512126084043923
86,0.6076730383817582
87,0.6097714351416422
88,0.6339279623374631
89,0.5905384578242193
90,0.61540362656545
91,0.6833718735181888
92,0.5766123257926411
93,0.5719593944527113
94,0.6318892857389166
95,0.6289072795954698
96,0.5657667725112218
97,0.6689383191280708
98,0.5669624687364359
99,0.6168536514888368
100,0.5896117676597955
101,0.6272649824023426
102,0.5949561270976202
103,0.5745050863146569
104,0.6122756972921987
105,0.6441287700678069
106,0.6094793566420544
107,0.5325211902318686
108,0.5658617887766736
109,0.5483200247681215
110,0.6349603512533402
111,0.558428007678213
112,0.6117546446904039
113,0.6134316755199157
114,0.6119154465005282
115,0.5918577017070956
116,0.567100896309614
117,0.6246935237509368
118,0.6242022314879292
119,0.5850969469371626
120,0.547660452529822
121,0.6163227989777708
122,0.6252526285482272
123,0.6423735022046677
124,0.6253981139256237
125,0.6328762820261161
126,0.6224665561999377
127,0.6256741075768852
128,0.6218554174228762
129,0.6298009023650262
130,0.5480026961176488
131,0.6455363291400902
132,0.5789847770350953
133,0.5957088500265476
134,0.5794639705816043
135,0.59432793483831
136,0.5898529381139042
137,0.6011899420038614
138,0.5814658916308163
139,0.5847010380025234
140,0.5984397317054613
141,0.6021728434867603
142,0.6279369342600025
143,0.5928430356630493
144,0.6319956111579467
145,0.5459108063571743
146,0.5654493961085509
147,0.6134295952784872
148,0.5960062432795403
149,0.5901680764098671
150,0.5863092425954505
151,0.6422923042342866
152,0.6026134028023731
153,0.5929785806802338
154,0.6307930591902826
155,0.6195385656218465
156,0.5810144013087221
157,0.6514463162620533
158,0.6035993656835612
159,0.6673677226366674
160,0.5708601697216865
161,0.5821471652449401
162,0.6148662459993832
163,0.614205368569094
164,0.5791576998408654
165,0.6387726076033172
166,0.6334211662387907
167,0.6073535161261008
168,0.6443953463946448
169,0.598590691995921
170,0.6300621018466441
171,0.6087581811137033
172,0.6064284161288966
173,0.6059188099586201
174,0.5689019708863206
175,0.6109173159231235
176,0.57900585572729
177,0.5852624423657569
178,0.590878384475662
179,0.5536342091262778
180,0.601352769122065
181,0.5922123324568597
182,0.6199963112944872
183,0.5959415573939866
184,0.6067176345133146
185,0.6613617302271955
186,0.5663292847712716
187,0.679277326793652
188,0.5415539345430072
189,0.6201083572689767
190,0.6684134477063801
191,0.6082894327899239
192,0.5987618179660346
193,0.6150928641814081
194,0.6110134745269022
195,0.6576356506277
196,0.6345487838011118
197,0.640836461564379
198,0.5865465925577235
199,0.5701295442818299
