Day,RMSTE,RMSRE,Accuracy
Day 0,0,0,0.88
Day 1,0,0,0.84
Day 2,0,0,0.7
Day 3,0,0,0.82
Day 4,0,0,0.74
Day 5,0,0,0.74
Day 6,0,0,0.84
Day 7,0,0,0.74
Day 8,0,0,0.68
Day 9,0,0,0.76
Day 10,0,0,0.68
Day 11,0,0,0.64
Day 12,0,0,0.66
Day 13,0,0,0.76
Day 14,0,0,0.74
Day 15,0,0,0.82
Day 16,0,0,0.68
Day 17,0,0,0.92
Day 18,0,0,0.68
Day 19,0,0,0.72
