Day,RMSTE,RMSRE,Accuracy
Day 0,0.07563374537815014,0.09804111108849724,0.74
Day 1,0.07649415220209585,0.1009379035078584,0.66
Day 2,0.07590807745757384,0.10070429026279767,0.74
Day 3,0.08848552829263064,0.11123925236662736,0.68
Day 4,0.08723381832641387,0.106019298612318,0.76
Day 5,0.07700005618000975,0.09459861089502525,0.82
Day 6,0.08134622888902632,0.09903141918665516,0.7
Day 7,0.08557909231186561,0.10178912210853255,0.7
Day 8,0.09632206168219422,0.12113479280732044,0.72
Day 9,0.09340851784572603,0.11135797187757696,0.58
Day 10,0.07990780346845996,0.09649631674497819,0.76
Day 11,0.0803697287785898,0.10058563564690871,0.7
Day 12,0.0817025364929679,0.10424273845941916,0.8
Day 13,0.08797395440524415,0.1092577535299128,0.7
Day 14,0.07119178665211028,0.08699607240029576,0.74
Day 15,0.07468259915452871,0.08952683039297538,0.76
Day 16,0.09491066654747753,0.12176300905192168,0.7
Day 17,0.06579560335175724,0.08884049881921455,0.82
Day 18,0.08312472993943276,0.10622288832208669,0.76
Day 19,0.08065901152501462,0.09949962019520663,0.76
