Day,MSE_mu,Accuracy
Day 0,0.028720823,0.72
Day 1,0.036093116,0.7
Day 2,0.037385203,0.68
Day 3,0.05059067,0.68
Day 4,0.03969748,0.68
Day 5,0.056100085,0.54
Day 6,0.037548363,0.52
Day 7,0.044478882,0.56
Day 8,0.042753303,0.52
Day 9,0.045549496,0.56
Day 10,0.042235802,0.62
Day 11,0.031513081,0.66
Day 12,0.035792727,0.7
Day 13,0.03417348,0.5
Day 14,0.050758471,0.68
Day 15,0.027225968,0.7
Day 16,0.041169773,0.62
Day 17,0.03203813,0.62
Day 18,0.043430341,0.54
Day 19,0.031416537,0.62
