Day,RMSTE,RMSRE,Accuracy
Day 0,0.08322041418864727,0.101975331879536,0.78
Day 1,0.08156024345663226,0.10473000876934717,0.8
Day 2,0.0788158442654637,0.09615873340307066,0.74
Day 3,0.0670580808520993,0.09066080063163443,0.76
Day 4,0.08258403337711495,0.10815415281936616,0.74
Day 5,0.07293369155121798,0.08738921535343457,0.72
Day 6,0.08344632775201813,0.10415276164946109,0.76
Day 7,0.06587446385504592,0.08279514306485457,0.82
Day 8,0.09314187258778264,0.11561961431838681,0.82
Day 9,0.08921334180139721,0.11175778613692883,0.74
Day 10,0.07922614267916601,0.10184533015560912,0.94
Day 11,0.08681117102905181,0.10911024310361868,0.72
Day 12,0.08543834034224534,0.106850437404915,0.8
Day 13,0.08488557869885484,0.11234605496006661,0.74
Day 14,0.07743670827509214,0.09890825809846998,0.82
Day 15,0.08169722492298288,0.09943621424231434,0.78
Day 16,0.08046982807925326,0.10585961073546549,0.68
Day 17,0.07118709139258256,0.09419380451556077,0.84
Day 18,0.07913310134239039,0.09578545501345083,0.76
Day 19,0.08850742153137106,0.11176145386212723,0.72
