Day,RMSTE,RMSRE,Accuracy
Day 0,0.07766330690950118,0.10032273140578617,0.8
Day 1,0.09097090418117387,0.10863493015819671,0.76
Day 2,0.08555393457334208,0.10544872618263901,0.82
Day 3,0.07877247862362888,0.09915560974112632,0.8
Day 4,0.10211642140689836,0.12024818055038518,0.9
Day 5,0.08609695898805933,0.10877822155795795,0.8
Day 6,0.09640850172140893,0.11430197898201112,0.92
Day 7,0.09852210215475136,0.11693808419630418,0.72
Day 8,0.09789618278702687,0.11999852903876561,0.74
Day 9,0.09347134716294717,0.11308477163101159,0.8
Day 10,0.08341748084068702,0.10031998047514036,0.8
Day 11,0.10311240191507462,0.12293007696094038,0.84
Day 12,0.08848641173337336,0.10966547972047237,0.8
Day 13,0.09732033089476415,0.1128365198566431,0.84
Day 14,0.10472070734710374,0.12447869356659567,0.78
Day 15,0.09412980061857142,0.1160003911400796,0.8
Day 16,0.10639466316104032,0.12363314428270872,0.68
Day 17,0.07975581854854469,0.10236105310709799,0.86
Day 18,0.09651913864390468,0.1163392820135704,0.82
Day 19,0.07948169086327343,0.10233871847997755,0.76
