Day,RMSTE,RMSRE,Accuracy
Day 0,0.091645387070207,0.10761763376542843,0.82
Day 1,0.08866745654170452,0.10651135718957827,0.68
Day 2,0.08538866312934536,0.10396517474133975,0.84
Day 3,0.06561588334450925,0.07849317767337685,0.92
Day 4,0.08287278054957589,0.10249140000853395,0.86
Day 5,0.0693317261426231,0.09394511127473873,0.94
Day 6,0.09637913679444422,0.12033942015904134,0.8
Day 7,0.08640830304126323,0.10685946329887377,0.72
Day 8,0.07527640100345158,0.09212670976632455,0.84
Day 9,0.0881002432311427,0.10193702810061789,0.74
Day 10,0.08277075460194785,0.10053990393076429,0.84
Day 11,0.08009372519597009,0.10238124004421023,0.74
Day 12,0.06457874982692637,0.08545782473199115,0.86
Day 13,0.06525710226536986,0.08805175422382167,0.86
Day 14,0.09022363924052454,0.11674467193181096,0.78
Day 15,0.07291517912505863,0.09035525966792822,0.84
Day 16,0.08406214158950977,0.10509976621213372,0.86
Day 17,0.09003417214788652,0.11332935738576913,0.88
Day 18,0.061059155748992164,0.07651802715400231,0.94
Day 19,0.08391636895683026,0.10910127568732209,0.8
