Day,RMSTE,RMSRE,Accuracy
Day 0,0.08134839202188521,0.10249715326957193,0.82
Day 1,0.07156854146225487,0.08714904268378994,0.92
Day 2,0.07963940408825557,0.09923377801753432,0.8
Day 3,0.08547339470568102,0.1041911779473936,0.84
Day 4,0.07869808306238216,0.09547420700725173,0.72
Day 5,0.08266191044657323,0.09582464582829703,0.84
Day 6,0.09837886956170598,0.12602382601263534,0.76
Day 7,0.0783304689718031,0.09929508510242407,0.74
Day 8,0.08438947372090254,0.10391497309153211,0.78
Day 9,0.08976636794247903,0.11151851211667606,0.76
Day 10,0.08170795299679208,0.09472156367152933,0.82
Day 11,0.10433901012113822,0.13097049962520713,0.78
Day 12,0.07735008975860001,0.09923353824396396,0.9
Day 13,0.0739542078447288,0.0916083906972458,0.74
Day 14,0.0704581403040821,0.0878563341810563,0.86
Day 15,0.0765309506838759,0.09707906865590835,0.86
Day 16,0.07790524308018736,0.09812869924611456,0.86
Day 17,0.07842378455640084,0.09476287818363935,0.78
Day 18,0.07882749355005256,0.09941116476089971,0.86
Day 19,0.08563331980656322,0.10160204312018015,0.7
