Day,MSE_mu,Accuracy
Day 0,0.00608897057639899,0.88
Day 1,0.014242827050073414,0.92
Day 2,0.01051424964729433,0.96
Day 3,0.007104039423086385,0.94
Day 4,0.006513690024924009,0.96
Day 5,0.008915351031918572,0.86
Day 6,0.008447325507315938,0.98
Day 7,0.008684893460753048,0.96
Day 8,0.014036065084190303,0.84
Day 9,0.007829365149847015,0.92
Day 10,0.010250906827234132,0.88
Day 11,0.010549950031927774,0.88
Day 12,0.008070147765875214,0.9
Day 13,0.011755331828386888,0.94
Day 14,0.00838711132944401,0.98
Day 15,0.008653685310030617,0.9
Day 16,0.00978595596009419,0.92
Day 17,0.006796139916182732,0.94
Day 18,0.013354265491738846,0.84
Day 19,0.011489197843194,0.84
