Day,MSE_mu,Accuracy
Day 0,0.010765707740144284,0.94
Day 1,0.009028343664488247,0.96
Day 2,0.013410722880835849,0.84
Day 3,0.010819119797291363,0.8
Day 4,0.012123202531810977,0.88
Day 5,0.012980073310780682,0.86
Day 6,0.018229757007086688,0.82
Day 7,0.015954888714839105,0.9
Day 8,0.010627634285758731,0.92
Day 9,0.010451517542403864,0.9
Day 10,0.010802904039688397,0.84
Day 11,0.008387891251438906,0.96
Day 12,0.014058161259023087,0.86
Day 13,0.010628832642385223,0.9
Day 14,0.011356349391114611,0.94
Day 15,0.01962211475958267,0.74
Day 16,0.010035854286127273,0.9
Day 17,0.012386016721361137,0.96
Day 18,0.011633296384095038,0.86
Day 19,0.011864245381534405,0.94
