Day,RMSTE,RMSRE,Accuracy
Day 0,0.07339934562573595,0.10135430191837266,0.8
Day 1,0.0807984024952684,0.10454020000213307,0.88
Day 2,0.08383128063820305,0.10490810359537255,0.84
Day 3,0.08996246779839805,0.11468463811084373,0.78
Day 4,0.07605716290813012,0.10156532512563297,0.8
Day 5,0.08052671773027423,0.09964827962002398,0.9
Day 6,0.08839433488085648,0.11359034635439727,0.78
Day 7,0.08451625516045005,0.10880213252927924,0.82
Day 8,0.09236909900184244,0.11992503231457777,0.82
Day 9,0.06863785644085012,0.08551331358128515,0.8
Day 10,0.07579859728395856,0.09510431518948904,0.86
Day 11,0.07302134838529424,0.09607357747443922,0.92
Day 12,0.07624914202578546,0.09367431607816641,0.8
Day 13,0.07940706313387803,0.0972443295133942,0.86
Day 14,0.08205024512928792,0.10862711029731212,0.74
Day 15,0.07818576438481316,0.10066764483238218,0.86
Day 16,0.07359925440021423,0.10046758986088779,0.76
Day 17,0.08319891519908794,0.10716144314630902,0.72
Day 18,0.07299899433729061,0.09216137088095673,0.88
Day 19,0.08891384940975632,0.10897611806962461,0.76
