Day,RMSTE,RMSRE,Accuracy
Day 0,0.08429174165897318,0.100012097935891,0.8
Day 1,0.07627624561148046,0.09807041117601334,0.7
Day 2,0.06515684407580989,0.07881369776172771,0.74
Day 3,0.07602842967449794,0.10507741098226145,0.74
Day 4,0.0767637212760505,0.09374712460637656,0.76
Day 5,0.06689543402359271,0.08858274174993144,0.82
Day 6,0.07771017575729017,0.09623150849641413,0.84
Day 7,0.07161367764992545,0.09000222439146104,0.74
Day 8,0.07870043514653799,0.09455479411172359,0.76
Day 9,0.07750283359274483,0.0969244342060863,0.82
Day 10,0.08207361190318187,0.10535702510115552,0.84
Day 11,0.07834667190246275,0.09690273807894563,0.8
Day 12,0.06510788471027897,0.09513174764783625,0.78
Day 13,0.08179432200959669,0.09591983609487323,0.86
Day 14,0.07269541796484091,0.09291672755272418,0.82
Day 15,0.08586825740154694,0.10802283601828118,0.74
Day 16,0.07795006278963232,0.09425769856879036,0.84
Day 17,0.06413144291266269,0.08273025406833061,0.88
Day 18,0.0739529826891681,0.10692884618921018,0.8
Day 19,0.06861002923599144,0.08712006326361947,0.78
